fireRisk,constructionType,hasSprinkler,buildingLimit,glLimit
High,Frame,Yes,1500000,"$1m/$2m"
Low,JM,Yes,5000000,"$1m/$2m"
Medium,JM,No,3000000,"$1m/$2m"
High,MNC/FR,Yes,2500000,"$1m/$2m"
Low,Frame,Yes,3000000,"$1m/$2m"
Medium,JM,Yes,5000000,"$1m/$2m"
Low,JM,No,3000000,"$1m/$2m"
Medium,Frame,Yes,3000000,"$1m/$2m"
Low,MNC/FR,No,5000000,"$1m/$2m"
High,Frame,No,750000,"$1m/$2m"
High,JM,Yes,2500000,"$1m/$2m"
High,MNC/FR,No,2500000,"$1m/$2m"
Medium,MNC/FR,Yes,5000000,"$1m/$2m"
Low,MNC/FR,Yes,5000000,"$1m/$2m"
Low,Frame,No,1500000,"$1m/$2m"
Medium,Frame,No,1500000,"$1m/$2m"
High,JM,No,1500000,"$1m/$2m"
Medium,MNC/FR,No,5000000,"$1m/$2m"
