pcGroup,construction,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
7,"Frame,JoistedMasonry,Non-Combustible",1.18,1.18,1.18,1.18,1.18,1.18
9,"MasNon-Comb,FireResistive",1.34,1.34,1.34,1.34,1.34,1.34
8,"Frame,JoistedMasonry,Non-Combustible",1.30,1.30,1.30,1.30,1.30,1.30
6X-7X,"Frame,JoistedMasonry,Non-Combustible",1.35,1.35,1.35,1.35,1.35,1.35
6Y-8Y,"Frame,JoistedMasonry,Non-Combustible",1.35,1.35,1.35,1.35,1.35,1.35
4,"MasNon-Comb,FireResistive",0.98,0.98,0.98,0.98,0.98,0.98
6Y-8Y,"MasNon-Comb,FireResistive",1.28,1.28,1.28,1.28,1.28,1.28
3,"Frame,JoistedMasonry,Non-Combustible",0.96,0.96,0.96,0.96,0.96,0.96
2,"MasNon-Comb,FireResistive",0.94,0.94,0.94,0.94,0.94,0.94
10W,"MasNon-Comb,FireResistive",1.51,1.51,1.51,1.51,1.51,1.51
6X-7X,"MasNon-Comb,FireResistive",1.28,1.28,1.28,1.28,1.28,1.28
5,"MasNon-Comb,FireResistive",1.00,1.00,1.00,1.00,1.00,1.00
1Y-5Y,"MasNon-Comb,FireResistive",1.09,1.09,1.09,1.09,1.09,1.09
8B,"Frame,JoistedMasonry,Non-Combustible",1.35,1.35,1.35,1.35,1.35,1.35
6,"MasNon-Comb,FireResistive",1.05,1.05,1.05,1.05,1.05,1.05
8,"MasNon-Comb,FireResistive",1.24,1.24,1.24,1.24,1.24,1.24
10,"Frame,JoistedMasonry,Non-Combustible",1.72,1.72,1.72,1.72,1.72,1.72
10W,"Frame,JoistedMasonry,Non-Combustible",1.63,1.63,1.63,1.63,1.63,1.63
2,"Frame,JoistedMasonry,Non-Combustible",0.92,0.92,0.92,0.92,0.92,0.92
8B,"MasNon-Comb,FireResistive",1.28,1.28,1.28,1.28,1.28,1.28
1Y-5Y,"Frame,JoistedMasonry,Non-Combustible",1.14,1.14,1.14,1.14,1.14,1.14
4,"Frame,JoistedMasonry,Non-Combustible",0.98,0.98,0.98,0.98,0.98,0.98
8X,"MasNon-Comb,FireResistive",1.34,1.34,1.34,1.34,1.34,1.34
1,"Frame,JoistedMasonry,Non-Combustible",0.88,0.88,0.88,0.88,0.88,0.88
6,"Frame,JoistedMasonry,Non-Combustible",1.06,1.06,1.06,1.06,1.06,1.06
1X-5X,"MasNon-Comb,FireResistive",1.09,1.09,1.09,1.09,1.09,1.09
1,"MasNon-Comb,FireResistive",0.90,0.90,0.90,0.90,0.90,0.90
9,"Frame,JoistedMasonry,Non-Combustible",1.42,1.42,1.42,1.42,1.42,1.42
1X-5X,"Frame,JoistedMasonry,Non-Combustible",1.14,1.14,1.14,1.14,1.14,1.14
10,"MasNon-Comb,FireResistive",1.58,1.58,1.58,1.58,1.58,1.58
7,"MasNon-Comb,FireResistive",1.14,1.14,1.14,1.14,1.14,1.14
3,"MasNon-Comb,FireResistive",0.97,0.97,0.97,0.97,0.97,0.97
8X,"Frame,JoistedMasonry,Non-Combustible",1.42,1.42,1.42,1.42,1.42,1.42
5,"Frame,JoistedMasonry,Non-Combustible",1.00,1.00,1.00,1.00,1.00,1.00
