state,territory,premOpsFactors,premCopsFactors
NY,20,0.15,0.15
VT,501,1.00,1.00
GA,503,0.58,0.58
PA,504,0.46,0.46
OH,510,0.49,0.49
SD,501,1.00,1.00
IN,506,0.78,0.78
CT,704,0.21,0.21
NY,12,0.22,0.22
TN,505,0.45,0.45
LA,501,1.00,1.00
NY,1,1.00,1.00
NJ,508,0.51,0.51
NJ,517,0.29,0.29
NJ,511,0.28,0.28
CT,705,0.25,0.25
NY,24,0.16,0.16
AZ,504,1.09,1.09
UT,501,1.00,1.00
NJ,516,0.42,0.42
CA,5,0.74,0.74
NH,501,1.00,1.00
TX,6,0.73,0.73
MO,502,0.90,0.90
MI,503,0.54,0.54
VA,503,1.00,1.00
CA,2,0.55,0.55
CA,7,0.40,0.40
CA,10,0.60,0.60
NY,21,0.16,0.16
OH,508,0.66,0.66
TX,5,0.71,0.71
NY,14,0.31,0.31
NJ,503,0.21,0.21
OR,502,0.73,0.73
NJ,513,0.38,0.38
OH,502,0.57,0.57
ND,501,1.00,1.00
SC,1,1.00,1.00
NY,23,0.13,0.13
TX,7,1.14,1.14
PA,507,0.44,0.44
KY,501,1.00,1.00
MI,504,0.57,0.57
NJ,507,0.67,0.67
MA,509,0.81,0.81
NJ,515,0.42,0.42
NY,22,0.12,0.12
PA,511,0.24,0.24
NY,2,0.21,0.21
NY,6,0.13,0.13
MS,501,1.00,1.00
AZ,503,1.10,1.10
MA,508,1.45,1.45
AK,1,1.00,1.00
OK,501,1.00,1.00
OH,504,0.68,0.68
IL,508,0.79,0.79
PA,501,1.00,1.00
MN,502,0.79,0.79
NE,501,1.00,1.00
VA,504,0.49,0.49
NY,9,0.23,0.23
MA,510,1.18,1.18
CT,708,0.25,0.25
MD,502,0.69,0.69
KS,502,0.60,0.60
IN,504,1.00,1.00
IL,501,1.00,1.00
WY,501,1.00,1.00
CT,701,0.44,0.44
OH,506,0.45,0.45
MO,501,1.00,1.00
MN,501,1.00,1.00
PA,503,0.25,0.25
IN,502,0.64,0.64
PA,512,0.17,0.17
DE,1,1.00,1.00
CT,703,0.22,0.22
MA,514,1.00,1.00
TX,3,1.11,1.11
AL,501,1.00,1.00
RI,501,1.00,1.00
CA,12,0.43,0.43
NY,5,0.23,0.23
CT,706,0.45,0.45
LA,503,0.61,0.61
MA,507,1.84,1.84
MI,501,1.00,1.00
NJ,501,1.00,1.00
NY,17,0.13,0.13
AZ,502,1.00,1.00
IL,509,0.78,0.78
IL,504,0.63,0.63
TX,8,1.34,1.34
WA,502,0.91,0.91
MO,503,1.00,1.00
MD,503,1.00,1.00
NJ,504,0.55,0.55
TN,504,0.48,0.48
NY,8,0.41,0.41
OR,501,1.00,1.00
AL,503,0.84,0.84
TX,4,1.34,1.34
NJ,506,0.39,0.39
PA,502,0.28,0.28
MA,515,1.50,1.50
NY,10,0.30,0.30
KS,501,1.00,1.00
OH,501,1.00,1.00
NY,3,0.31,0.31
CT,707,0.21,0.21
TN,503,1.00,1.00
WI,501,1.00,1.00
TX,2,0.82,0.82
MD,501,0.43,0.43
PA,513,0.27,0.27
OH,509,0.50,0.50
NY,4,0.13,0.13
IL,506,0.61,0.61
WI,502,0.79,0.79
ID,501,1.00,1.00
WV,501,1.00,1.00
CA,9,0.74,0.74
CT,709,1.00,1.00
ME,1,1.00,1.00
NY,16,0.25,0.25
PA,510,0.20,0.20
OH,505,0.35,0.35
NM,1,1.00,1.00
TN,501,0.75,0.75
RI,502,0.75,0.75
CA,1,1.01,1.01
OK,503,0.69,0.69
IL,507,0.51,0.51
NY,7,0.37,0.37
IN,501,0.99,0.99
KY,503,0.69,0.69
RI,503,0.52,0.52
NJ,505,0.24,0.24
LA,504,0.72,0.72
NY,18,0.25,0.25
MI,505,0.46,0.46
VA,502,0.56,0.56
MA,517,0.84,0.84
CA,6,0.64,0.64
VA,501,0.63,0.63
PA,509,0.18,0.18
CO,501,1.00,1.00
MN,503,0.96,0.96
IL,514,1.18,1.18
NJ,512,0.21,0.21
IA,501,1.00,1.00
OH,507,1.01,1.01
CA,4,0.73,0.73
OH,503,0.56,0.56
IA,502,1.13,1.13
CA,11,0.60,0.60
AR,501,1.00,1.00
NV,1,1.00,1.00
NE,502,0.90,0.90
WI,503,1.00,1.00
GA,502,1.00,1.00
NJ,502,0.56,0.56
CA,3,1.00,1.00
MT,1,1.00,1.00
OK,502,1.06,1.06
CO,502,0.75,0.75
NC,501,1.00,1.00
NJ,509,0.16,0.16
WA,501,1.00,1.00
MA,506,1.65,1.65
PA,505,0.24,0.24
LA,502,1.07,1.07
TX,1,1.00,1.00
MA,516,0.78,0.78
